uid,text,Extracted problems
US20200116133A1,"However, the disadvantages of this approach are the relatively large number of fan motors required; the higher probability of leakages of fluid coolant from the heat exchangers; the number of manifolds required for the cooling units; and a significant drop in performance in the event of a fan failure. When a fan stops functioning for some reason, the cooler to which it is connected is also effectively unable to function, since the air is no longer being sucked through the cooling matrix. The cooling capacity of such an arrangement is quantified as the product n·U·A, where n is the number of (identical) cooling units, U is the heat transfer coefficient of a cooling unit, and A is the heat exchanger area of a cooling unit. Clearly, failure of one or more fans will significantly reduce the cooling capacity.. A further problem arises since the fans and the main shaft are exposed to hot air leaving the armature. When a fan is surrounded by hot air, thermal overload relay (TOR) may cause the fan motor to cut out upon reaching a too-high temperature. The temperature of the main shaft is of particular concern also because electrical components are usually installed in the relatively large space inside the shaft. Heat from the generator can reach the main shaft and heat the interior of the main shaft. High temperatures within the main shaft may result in having to shut down or down-regulate a generator to protect the electrical components from damage. Down-time and down-regulation result in loss of earnings to the wind turbine operator, and must therefore be taken seriously. For these reasons, in the known cooling arrangements it may be necessary to also provide a supply of low-temperature air for the electrical components within the main shaft. Furthermore, the space inside the main shaft is directly connected with the space inside the hub and also with the space inside the canopy or nacelle, where other electrical components are also usually installed. These components must also be protected from over-heating, and it may be necessary to provide additional cooling in the hub and canopy also. Therefore, the known cooling arrangements are generally associated with unfavourably high installation costs and running costs.",failure of one or more fans will significantly reduce the cooling capacity
US8729750B2,"Thereby, the problem of high pressure losses of the gaseous cooling medium has to be encountered within the radial channels. The pressure losses are mainly based on flow separation of the gaseous cooling medium and may significantly diminish the cooling performance.. The present invention is based on the idea to provide the at least one transition area from the stator stack in at least one respective radial channel with an aerodynamic shape, i.e. the respective transition area has a curved and/or chamfered and/or stepped shape. In such a manner, the problem of pressure losses of the gaseous cooling medium in the respective radial channels serving as air-ducts is encountered. As a result, the cooling capability may be increased since the distribution of the flow rate of the gaseous cooling medium through the respective radial channels is improved, i.e. respective differences of the flow rate in axial and radial direction are essentially diminished leading to an essentially even distribution of the flow rate both in axial and radial direction, that is axially along the stator stack as well as radially through the respective radial channels.",high pressure losses of the gaseous cooling medium
JP2011152035A,"In order to achieve coupling of the magnetic field, permanent magnets are used for the electromechanical transducer, in particular its rotor. Recently, especially rare earth magnetic materials have been introduced, so permanent magnet electromechanical transducers that do not require commutators or brushes are widely used with conventional DC electromechanical transducers. . Since there is no excitation by an external rotor, rotor losses are reduced and permanent magnet electromechanical transducers are efficient. Further, by designing the permanent magnet type electromechanical transducer in a brushless manner, the induction coil can be arranged in the stationary stator. In this respect, a non-permanent magnet type electromechanical transducer having a commutator and a brush and not having a permanent magnet has the disadvantage of high maintenance costs.
 . 
 One technical problem with permanent magnet electromechanical transducers is the generation of cogging torque. Cogging torque is generated between the rotor and the stator on which the permanent magnet is attached, by approaching the rotor magnet and the stator coil at a steep edge when the permanent magnet type electromechanical transducer is operating. When cogging torque is generated, output ripple (also referred to as torque ripple) is generated, which has the undesirable effect of causing vibration and thus noise in the electromechanical transducer.",cogging torque
CN104979926A,"Another problem be associated with the design of such external rotor is difficult to sensible and changes defective magnetic pole or pole piece.In Known designs, may be necessary that the whole backboard or back of the body dish of dismantling generator are can remove defective magnet.Such maintenance process is very long and costliness, and the generator outage time can be significant.. Another problem that such rotor design can run into is the problem of uneven air gap.This only can such as be solved on limited extent by the position adjusting one of multiple stator segment.Stator segment is a part for cylindrical stator, such as 1/12nd, and usually carrying to be arranged between stator tooth and to be installed to multiple windings of carrier structure or bedframe.Because stator segment covers multiple magnetic pole usually, such as, be 1:8 or larger ratio, so it is inconsistent to be difficult to maybe to be corrected (to only one or two magnetic pole is relevant) local airgap by the position adjusting a stator segment.",uneven air gap
CN103362740B,"So far, this problem is solved by using relatively large diesel-driven generator, it is suitable for all transformers
 Conveying switching current.Notably, however, in the case of offshore wind field, there is provided for the platform of such huge diesel-driven generator
 It is probably difficult and costliness.. However, wind field emergency generator can consume/provide more reactive powers up to several seconds for transient affair.For example,
 In short time period, it can be operated in the second opereating specification 46 or in the 4th opereating specification 48.By universal law（as a
 rule of thumb）, wind field emergency generator can be in the case where being not damaged by or losing the control of output voltage advanced
 Carried in power factor load and reach the 10% of its rated reactive power ability.If however, before many such transient events are mutual
 Rapidly occur afterwards, be then likely to occur problem.This can cause the generator of overheat.The most common source of leading power factor
 It is the light load universal electric power system with input filter and power factor correction equipment for motor（UPS）.Super
 Loading wind field emergency generator before preceding power factor load with lagging power-factor load can improve stability.",This can cause the generator of overheat
US9531240B2,"To cool the generator and the gear unit, conventional wind turbines have a generator cooling system and a gear unit cooling system which are normally separate from one another. The generator cooling system is usually operated with air as a cooling fluid and is provided with an air-to-air heat exchanger which is designed such that during normal operation of the wind turbine it transmits thermal energy from the air present in the interior of the generator to the cooling fluid of the generator cooling system. Oil is mostly used as the cooling fluid for the gear unit cooling system, and extracts thermal energy from the gear unit during normal operation of the wind turbine. The energy absorbed is then extracted from the oil again by a recooling medium in a recooling unit of the gear unit cooling system, whereupon the oil is fed back to the gear unit. One disadvantage of wind turbines constructed in this way is that their structure is complex and expensive.",their structure is complex and expensive
EP2800898B1,"Commercially available inverters (e.g., so-called pulse-to-inverters) have the disadvantage that at very low frequencies, a current reduction to e.g. 50 to 70 percent must be compared to the rated point, since the current for such small frequencies would otherwise be too high for the semiconductor devices. As a result, the torque that can be delivered by the generator may not be sufficient for the rotation of the hub.. According to the invention, the problem of power reduction is bypassed by switching between series and parallel connection. Thus, the full rated torque or, depending on switching, even a higher torque for assembly is available.",power reduction
JP2001526357A,"According to the present invention, a problem related to a wind power generation facility is that, in a wind power generation facility having a tower provided with a passage and a windmill driving a generator, power generation is performed by a chimney effect in the passage",power generation is performed by a chimney effect in the passage
EP2918824B1,"Given that wind power is becoming an essential part of the electricity system, an incapacity to provide inertial response results in a reduction of the inertia in the system and, consequently, an increase in frequency drops/spikes. Accordingly, measures must be taken to prevent the wind turbines' lack of inertial response, which could entail major problems in the electricity grid caused by frequency drops/spikes.",frequency drops / spikes
US9190845B2,"The fixed-speed wind turbine is simple, reliable, low-cost and proven. But its disadvantages include uncontrollable reactive power consumption (as required to generate the stator rotating flux), mechanical stresses, limited control of power quality and relatively inefficient operation. In fact, wind speed fluctuations result in mechanical torque fluctuations that then result in fluctuations in the electrical power on the grid.",uncontrollable reactive power consumption
